id,sentence,audio_path
1,তারা নতুন বাড়িতে বসবাস শুরু করেছে।,./audio_files/1.wav
2,তারা নতুন বাড়িতে বসবাস শুরু করেছে এবং ধীরে ধীরে সব গুছিয়ে নিচ্ছে।,./audio_files/2.wav
3,তুমি যদি চেষ্টা করো তবে অবশ্যই সফল হবে।,./audio_files/3.wav
4,আমরা সবাই তার সাফল্যে আনন্দিত হয়েছি এবং তাকে অভিনন্দন জানিয়েছি।,./audio_files/4.wav
5,শিশুরা মাঠে আনন্দের সাথে খেলছিল এবং হাসির শব্দ চারদিকে ছড়িয়ে পড়ছিল।,./audio_files/5.wav
6,আমরা আগামীকাল ভ্রমণে যাওয়ার পরিকল্পনা করেছি যদি আবহাওয়া ভালো থাকে।,./audio_files/6.wav
7,আমি তাকে চিনি।,./audio_files/7.wav
8,আজ শহরের রাস্তায় অনেক যানজট ছিল।,./audio_files/8.wav
9,আমি নতুন প্রযুক্তি সম্পর্কে জানতে আগ্রহী।,./audio_files/9.wav
10,শিশুরা মাঠে আনন্দের সাথে খেলছিল।,./audio_files/10.wav
11,সে তার ভুল থেকে অনেক কিছু শিখেছে এবং এখন আরও সতর্ক হয়েছে।,./audio_files/11.wav
12,আজ খুব গরম।,./audio_files/12.wav
13,তুমি কি আমাকে এই কাজটি করতে সাহায্য করবে কারণ আমি একা পারছি না।,./audio_files/13.wav
14,তারা নতুন একটি প্রকল্প নিয়ে কাজ করছে যা ভবিষ্যতে বড় সাফল্য আনতে পারে।,./audio_files/14.wav
15,সকালে ঘুম থেকে উঠে আমি প্রথমে খবরের কাগজ পড়ি এবং চা পান করি।,./audio_files/15.wav
16,সব ঠিক আছে।,./audio_files/16.wav
17,আজকের দিনটি আমার জীবনের একটি স্মরণীয় দিন।,./audio_files/17.wav
18,সে বই পড়ছে।,./audio_files/18.wav
19,আমি বই পড়ে নতুন জ্ঞান অর্জন করি।,./audio_files/19.wav
20,সে তার ভুল থেকে অনেক কিছু শিখেছে।,./audio_files/20.wav
21,আমি আজ খুব খুশি।,./audio_files/21.wav
22,তারা খেলছে।,./audio_files/22.wav
23,আমরা সবাই মিলে আজ একটি নতুন পরিকল্পনা করেছি যা ভবিষ্যতে আমাদের কাজে লাগবে।,./audio_files/23.wav
24,সে ধীরে হাঁটে।,./audio_files/24.wav
25,আমরা সবাই মিলে আজ একটি নতুন পরিকল্পনা করেছি।,./audio_files/25.wav
26,আমরা বন্ধুরা একসাথে বসে আগামী দিনের পরিকল্পনা নিয়ে আলোচনা করছিলাম।,./audio_files/26.wav
27,আমি চা খাই।,./audio_files/27.wav
28,আজকের আবহাওয়া ভ্রমণের জন্য খুব উপযোগী হওয়ায় আমরা বাইরে যাওয়ার সিদ্ধান্ত নিয়েছি।,./audio_files/28.wav
29,আমি সময়মতো কাজ শেষ করতে চাই।,./audio_files/29.wav
30,আজকের আবহাওয়া ভ্রমণের জন্য খুব উপযোগী।,./audio_files/30.wav
31,আমি অপেক্ষা করছি।,./audio_files/31.wav
32,আমরা যাচ্ছি।,./audio_files/32.wav
33,তারা অনুষ্ঠানের জন্য পুরো ঘর সুন্দরভাবে সাজিয়েছে।,./audio_files/33.wav
34,আকাশ পরিষ্কার।,./audio_files/34.wav
35,সময় শেষ।,./audio_files/35.wav
36,আজ শহরের রাস্তায় অনেক যানজট ছিল যার কারণে আমি দেরি করেছি।,./audio_files/36.wav
37,তারা গ্রামের বাড়িতে বেড়াতে গেছে এবং সেখানে খুব আনন্দে সময় কাটাচ্ছে।,./audio_files/37.wav
38,সে খুব মনোযোগ দিয়ে পড়াশোনা করছে যাতে পরীক্ষায় ভালো ফল করতে পারে।,./audio_files/38.wav
39,আমি প্রকৃতির সৌন্দর্য দেখতে ভালোবাসি এবং সুযোগ পেলেই বাইরে যাই।,./audio_files/39.wav
40,সে বসে আছে।,./audio_files/40.wav
41,আমরা একসাথে রাতের খাবার খেয়েছিলাম।,./audio_files/41.wav
42,শিক্ষক ক্লাসে নতুন বিষয়টি খুব সহজভাবে বুঝিয়ে দিয়েছেন।,./audio_files/42.wav
43,আমি ক্লান্ত।,./audio_files/43.wav
44,আজ অফিসে অনেক কাজ ছিল তাই আমি খুব ক্লান্ত অনুভব করছি।,./audio_files/44.wav
45,তারা নতুন একটি প্রকল্প নিয়ে কাজ করছে।,./audio_files/45.wav
46,আমরা নদীর ধারে বসে গল্প করছিলাম।,./audio_files/46.wav
47,আমি আমার পরিবারের সাথে সময় কাটাতে পছন্দ করি কারণ এতে মানসিক শান্তি পাই।,./audio_files/47.wav
48,আমি সময়মতো কাজ শেষ করতে চাই যাতে পরে কোনো চাপ না থাকে।,./audio_files/48.wav
49,সে কঠোর পরিশ্রমের মাধ্যমে তার লক্ষ্য অর্জন করেছে এবং সবাইকে অনুপ্রাণিত করেছে।,./audio_files/49.wav
50,আমরা বিকেলে পার্কে গিয়ে কিছুক্ষণ হাঁটাহাঁটি করেছি।,./audio_files/50.wav
51,সে অনেক দিন ধরে এই কাজটি শেষ করার জন্য চেষ্টা করে যাচ্ছে।,./audio_files/51.wav
52,আমি অবসর সময়ে গান শুনতে ভালোবাসি কারণ এতে মন ভালো থাকে।,./audio_files/52.wav
53,আমি বাংলা শিখছি।,./audio_files/53.wav
54,সে খুব সুন্দর ছবি আঁকতে পারে এবং সবাই তার কাজের প্রশংসা করে।,./audio_files/54.wav
55,আমি ধীরে ধীরে এই নতুন পরিবেশের সাথে নিজেকে মানিয়ে নিচ্ছি।,./audio_files/55.wav
56,আমি প্রতিদিন কিছু নতুন শেখার চেষ্টা করি যাতে আমার জ্ঞান বৃদ্ধি পায়।,./audio_files/56.wav
57,তুমি কি আসবে?,./audio_files/57.wav
58,সে দ্রুত দৌড়ায়।,./audio_files/58.wav
59,তুমি কোথায় যাচ্ছ?,./audio_files/59.wav
60,সে লিখছে।,./audio_files/60.wav
61,তারা গ্রামের বাড়িতে বেড়াতে গেছে।,./audio_files/61.wav
62,আমরা নদীর ধারে বসে গল্প করছিলাম এবং সুন্দর দৃশ্য উপভোগ করছিলাম।,./audio_files/62.wav
63,সে প্রতিদিন নিয়মিত ব্যায়াম করে যাতে সুস্থ ও শক্তিশালী থাকতে পারে।,./audio_files/63.wav
64,আজকের দিনটি আমার জীবনের একটি স্মরণীয় দিন হয়ে থাকবে।,./audio_files/64.wav
65,আমরা একসাথে কাজ করি।,./audio_files/65.wav
66,আমি প্রতিদিন সময়মতো ঘুমানোর চেষ্টা করি যাতে সকালে সতেজ থাকতে পারি।,./audio_files/66.wav
67,সে নতুন ভাষা শেখার জন্য একটি কোর্সে ভর্তি হয়েছে।,./audio_files/67.wav
68,আমি প্রতিদিন সকালে উঠে কিছুক্ষণ হাঁটতে যাই এবং তাজা বাতাস উপভোগ করি।,./audio_files/68.wav
69,সে চেষ্টা করছে।,./audio_files/69.wav
70,সে তার মায়ের সাথে বাজারে গেছে এবং প্রয়োজনীয় জিনিসপত্র কিনছে।,./audio_files/70.wav
71,সে তার মায়ের সাথে বাজারে গেছে।,./audio_files/71.wav
72,আজ ছুটি।,./audio_files/72.wav
73,আমরা জিতেছি।,./audio_files/73.wav
74,আমরা সবাই তার সাফল্যে আনন্দিত হয়েছি।,./audio_files/74.wav
75,শিশুটি হাসছে।,./audio_files/75.wav
76,আমরা সবাই মিলে সমস্যাটির সমাধান খুঁজে বের করার চেষ্টা করছি।,./audio_files/76.wav
77,সে সবসময় সত্য কথা বলতে চেষ্টা করে যদিও এতে অনেক সময় সমস্যা হয়।,./audio_files/77.wav
78,আজকের সভাটি খুব গুরুত্বপূর্ণ ছিল।,./audio_files/78.wav
79,তুমি যদি চেষ্টা করো তবে অবশ্যই সফল হবে কারণ পরিশ্রম কখনো ব্যর্থ হয় না।,./audio_files/79.wav
80,আমি দেখেছি।,./audio_files/80.wav
81,আমি প্রকৃতির সৌন্দর্য দেখতে ভালোবাসি।,./audio_files/81.wav
82,আমি আমার পরিবারের সাথে সময় কাটাতে পছন্দ করি।,./audio_files/82.wav
83,এই সমস্যার সমাধান করা সহজ নয়।,./audio_files/83.wav
84,আমি বই পড়ে নতুন জ্ঞান অর্জন করি এবং নিজের চিন্তাভাবনা উন্নত করি।,./audio_files/84.wav
85,আমি প্রতিদিন কিছু নতুন শেখার চেষ্টা করি।,./audio_files/85.wav
86,আমি ভবিষ্যতে একজন দক্ষ গবেষক হতে চাই এবং সমাজের জন্য কাজ করতে চাই।,./audio_files/86.wav
87,আমি প্রতিদিন সকালে উঠে হাঁটতে যাই।,./audio_files/87.wav
88,সে খুব মনোযোগ দিয়ে পড়াশোনা করছে।,./audio_files/88.wav
89,আমরা আগামীকাল ভ্রমণে যাওয়ার পরিকল্পনা করেছি।,./audio_files/89.wav
90,আমি নতুন প্রযুক্তি সম্পর্কে জানতে আগ্রহী এবং এ নিয়ে নিয়মিত পড়াশোনা করি।,./audio_files/90.wav
91,তারা এসেছে।,./audio_files/91.wav
92,আমরা একসাথে রাতের খাবার খেয়েছিলাম এবং অনেকক্ষণ গল্প করেছি।,./audio_files/92.wav
93,সে গান গায়।,./audio_files/93.wav
94,সে খুব সুন্দর ছবি আঁকতে পারে।,./audio_files/94.wav
95,তুমি শুনছ?,./audio_files/95.wav
96,আজকের সভাটি খুব গুরুত্বপূর্ণ ছিল কারণ সেখানে গুরুত্বপূর্ণ সিদ্ধান্ত নেওয়া হয়েছে।,./audio_files/96.wav
97,সে সবসময় সত্য কথা বলতে চেষ্টা করে।,./audio_files/97.wav
98,আমি ভবিষ্যতে একজন দক্ষ গবেষক হতে চাই।,./audio_files/98.wav
99,সে তার বন্ধুর সাথে দীর্ঘ সময় ধরে গুরুত্বপূর্ণ বিষয় নিয়ে আলোচনা করেছে।,./audio_files/99.wav
100,তুমি কি বুঝেছ?,./audio_files/100.wav
101,আজ আবহাওয়া সুন্দর।,./audio_files/101.wav
102,সে কঠোর পরিশ্রমের মাধ্যমে তার লক্ষ্য অর্জন করেছে।,./audio_files/102.wav
103,তুমি কি আমাকে এই কাজটি করতে সাহায্য করবে?,./audio_files/103.wav
104,"এই সমস্যার সমাধান করা সহজ নয়, তবে চেষ্টা করলে সম্ভব হতে পারে।",./audio_files/104.wav
